ID,TUBODNA,FID,IID
16,N  -  99,1,55868
92,N - 111,2,55869
2025,N  - 123,3,55870
43,N - 135,4,55871
2208,N - 147,5,55872
2260,N - 159,6,55873
4036,N - 170,7,55874
486,N - 181,8,55875
170,N - 100,9,55876
240,N - 112,10,55877
2104,N  - 124,11,55878
2067,N - 136,12,55879
2160,N - 148,13,55880
2279,N - 160,14,55881
573,N - 171,15,55882
4232,N - 182,16,55883
125,N - 101,17,55884
225,N - 113,18,55885
2071,N - 125,19,55886
2055,N - 137,20,55887
387,N - 149,21,55888
425,N - 161,22,55889
4101,N - 172,23,55890
4175,N - 183,24,55891
84,N  - 102,25,55892
2068,N  - 126,27,55894
288,N - 138,28,55895
378,N - 150,29,55896
2267,N - 162,30,55897
580,N - 173,31,55898
4158,N - 184,32,55899
120,N - 103,33,55900
2032,N - 115,34,55901
198,N  - 127,35,55902
292,N - 139,36,55903
2163,N - 151,37,55904
232,N - 114,38,55905
2095,N - 174,39,55906
2366,N - 185,40,55907
38,N - 104,41,55908
90,N - 116,42,55909
2101,N  - 128,43,55910
2151,N - 140,44,55911
4039,N - 152,45,55912
2251,N - 163,46,55913
574,N - 175,47,55914
2277,N - 186,48,55915
98,N - 105,49,55916
236,N  - 117,50,55917
21,N  - 129,51,55918
2103,N - 141,52,55919
4011,N - 153,53,55920
4042,N - 164,54,55921
6001,N - 187,56,55923
63,N - 106,57,55924
2041,N  - 118,58,55925
2065,N -  130,59,55926
2063,N - 142,60,55927
2149,N - 154,61,55928
336,N - 165,62,55929
2171,N - 176,63,55930
4202,N - 188,64,55931
74,N - 107,65,55932
230,N  - 119,66,55933
2078,N - 131,67,55934
319,N - 143,68,55935
2223,N - 155,69,55936
4063,N - 166,70,55937
2358,N - 177,71,55938
4220,N  - 189,72,55939
68,N - 108,73,55940
2024,N  - 120,74,55941
79,N - 132,75,55942
2153,N - 144,76,55943
380,N - 156,77,55944
4032,N -167,78,55945
2244,N - 178,79,55946
4211,N - 190,80,55947
2059,N - 109,81,55948
2016,N  - 121,82,55949
2072,N  - 133,83,55950
382,N - 145,84,55951
4074,N - 157,85,55952
4093,N - 168,86,55953
535,N - 179,87,55954
2350,N - 191,88,55955
2011,N  - 122,89,55957
2060,N - 134,90,55958
2184,N - 146,91,55959
396,N - 158,92,55960
4090,N - 169,93,55961
6004,N -1 80,94,55962
231,N -110,95,55963
2381,N  - 192,96,55964
576,N - 204,97,55965
554,N - 216,98,55966
4314,N - 228,99,55967
723,N - 239,100,55968
804,N - 251,101,55969
815,N - 264,102,55970
939,N - 275,103,55971
2367,N - 193,104,55972
639,N - 205,105,55973
4311,N - 217,106,55974
688,N - 229,107,55975
709,N - 240,108,55976
6129,N - 252,109,55977
4485,N - 265,110,55978
2641,N - 276,111,55979
488,N  - 194,112,55980
2344,N - 206,113,55981
4300,N - 218,114,55982
735,N - 230,115,55983
773,N - 241,116,55984
4307,N - 253,117,55985
768,N - 260,118,55986
906,N - 277,119,55987
4216,N - 195,120,55988
