"fid"	"iid"
3	55870
5	55872
6	55873
11	55878
13	55880
15	55882
16	55883
23	55890
29	55896
30	55897
36	55903
37	55904
39	55906
44	55911
45	55912
46	55913
47	55914
49	55916
50	55917
53	55920
54	55921
56	55923
63	55930
67	55934
70	55937
76	55943
80	55947
82	55949
85	55952
86	55953
88	55955
89	55957
90	55958
91	55959
93	55961
94	55962
96	55964
97	55965
99	55967
101	55969
102	55970
103	55971
104	55972
105	55973
106	55974
109	55977
110	55978
111	55979
115	55983
116	55984
120	55988
121	55989
126	55994
127	55995
131	55999
132	56000
133	56001
137	56005
139	56007
140	56008
141	56009
146	56014
147	56015
149	56017
151	56019
154	56022
155	56023
158	56026
161	56029
164	56032
165	56033
166	56034
168	56036
169	56037
170	56038
174	56042
178	56046
180	56048
181	56049
182	56050
183	56051
185	56054
186	56055
187	56056
188	56057
190	56059
192	56061
193	56062
194	56063
199	56068
200	56069
201	56070
204	56073
206	56075
208	56077
210	56079
212	56081
215	56084
216	56085
217	56086
218	56087
224	56093
225	56094
230	56099
236	56105
237	56106
239	56108
240	56109
243	56112
244	56113
245	56114
248	56117
251	56120
253	56122
255	56124
258	56127
263	56132
269	56138
271	56140
272	56141
274	56143
277	56146
279	56149
281	56151
283	56153
289	56159
294	56164
295	56165
297	56167
300	56170
302	56172
305	56175
307	56177
308	56178
315	56185
320	56190
324	56194
327	56197
328	56198
330	56200
331	56201
332	56202
333	56203
336	56206
338	56208
342	56212
343	56213
344	56214
348	56218
349	56219
350	56220
351	56221
353	56223
355	56225
358	56228
359	56229
360	56230
361	56231
363	56233
366	56236
367	56237
370	56240
372	56242
379	56250
380	56251
386	56257
388	56259
389	56260
392	56263
394	56265
395	56266
396	56267
397	56268
400	56271
401	56272
402	56273
404	56275
415	56286
416	56287
418	56289
420	56291
423	56294
426	56297
427	56298
428	56299
429	56300
431	56302
433	56304
434	56305
435	56306
437	56308
438	56309
441	56312
443	56314
445	56316
452	56323
457	56328
459	56330
464	56335
465	56336
466	56337
467	56338
468	56339
472	56344
473	56345
475	56347
476	56348
478	56350
479	56351
480	56352
481	56353
482	56354
483	56355
484	56356
485	56357
486	56358
487	56359
488	56360
489	56361
491	56363
492	56364
493	56365
494	56366
496	56368
497	56369
498	56370
499	56371
502	56374
503	56375
504	56376
506	56378
508	56380
509	56381
510	56382
511	56383
512	56384
513	56385
514	56386
515	56387
516	56388
517	56389
518	56390
521	56393
522	56394
523	56395
524	56396
525	56397
526	56398
528	56400
531	56403
532	56404
533	56405
534	56406
535	56407
536	56408
537	56409
538	56410
539	56411
540	56412
542	56414
543	56415
544	56416
545	56417
546	56418
547	56419
548	56420
549	56421
550	56422
551	56423
552	56424
554	56426
555	56427
556	56428
557	56429
558	56430
559	56431
560	56432
561	56433
562	56434
563	56435
564	56437
565	56438
568	56441
571	56444
572	56445
574	56447
575	56448
577	56450
578	56451
579	56452
580	56453
581	56454
582	56455
584	56457
586	56459
587	56460
588	56461
589	56462
590	56463
592	56465
594	56467
595	56468
596	56469
597	56470
598	56471
599	56472
600	56473
601	56474
602	56475
603	56476
605	56478
606	56479
607	56480
608	56481
609	56482
610	56483
611	56484
612	56485
613	56486
614	56487
615	56488
616	56489
618	56491
620	56493
621	56494
622	56495
623	56496
624	56497
625	56498
626	56499
627	56500
628	56501
629	56502
630	56503
633	56506
638	56511
640	56513
641	56514
642	56515
645	56518
646	56519
647	56520
648	56521
649	56522
650	56523
652	56525
653	56526
654	56527
655	56528
657	56530
659	56533
660	56534
661	56535
663	56537
664	56538
665	56539
666	56540
669	56543
670	56544
672	56546
673	56547
674	56548
675	56549
676	56550
677	56551
678	56552
679	56553
681	56555
682	56556
683	56557
684	56558
687	56561
688	56562
689	56563
690	56564
691	56565
693	56567
698	56572
699	56573
700	56574
701	56575
703	56577
705	56579
706	56580
708	56582
709	56583
710	56584
711	56585
713	56587
715	56589
716	56590
717	56591
719	56593
721	56595
722	56596
723	56597
724	56598
725	56599
726	56600
727	56601
729	56603
731	56605
732	56606
733	56607
734	56608
736	56610
738	56612
739	56613
740	56614
741	56615
742	56616
743	56617
745	56619
747	56621
748	56622
749	56623
750	56624
751	56625
752	56626
753	56627
755	56630
756	56631
757	56632
758	56633
760	56635
761	56636
763	56638
764	56639
765	56640
766	56641
767	56642
768	56643
769	56644
770	56645
771	56646
772	56647
773	56648
774	56649
776	56651
777	56652
778	56653
779	56654
780	56655
781	56656
782	56657
783	56658
784	56659
785	56660
786	56661
788	56663
789	56664
790	56665
791	56666
792	56667
793	56668
794	56669
795	56670
796	56671
798	56673
799	56674
800	56675
801	56676
802	56677
803	56678
804	56679
805	56680
806	56681
808	56683
809	56684
810	56685
811	56686
812	56687
813	56688
814	56689
815	56690
817	56692
818	56693
819	56694
820	56695
821	56696
822	56697
823	56698
824	56699
825	56700
826	56701
827	56702
828	56703
830	56705
832	56707
833	56708
834	56709
835	56710
838	56713
839	56714
841	56716
842	56717
843	56718
844	56719
845	56720
846	56721
848	56723
849	56725
850	56726
851	56727
852	56728
853	56729
854	56730
855	56731
858	56735
860	56737
862	56739
863	56740
864	56741
865	56742
867	56744
872	56749
873	56750
874	56751
875	56752
878	56755
879	56756
883	56760
886	56763
887	56764
888	56765
889	56766
890	56767
891	56768
892	56769
893	56770
896	56773
897	56774
898	56775
899	56776
903	56780
904	56781
906	56783
908	56785
909	56786
910	56787
911	56788
912	56789
913	56790
914	56791
915	56792
916	56793
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
NA	NA
